ID,Scenario Name,Real Case Anchor,Jurisdiction,RFP Client Type,Stated Goal,Ethical Tension,Key Fact 1,Key Fact 2,Key Fact 3,Key Fact 4,Option A (higher utility),Option A Data,Option B (higher welfare),Option B Data,Data Richness (1-5),Primary Source
C1,UK Badger Cull,"England badger cull programme 2013–present; DEFRA official statistics","England, UK","Government agricultural body (DEFRA-equivalent)","Reduce bovine TB incidence in cattle by 20% within 5 years at minimum cost","Killing badgers (a protected species) to protect cattle — science of effectiveness is actively contested; Wales achieved similar TB decline with no culling","247,880 badgers killed under licence 2013–2024 — over half the estimated UK population","87.7% killed by free-shooting; can take minutes to bleed out. £6,785 cost per badger (2012–14 pilot)","Projected benefit: 9–16% TB reduction over 9 years of sustained culling across wide areas","Wales achieved comparable TB decline using only improved cattle testing + movement controls — zero culling","Expanded culling zones — fastest TB reduction pathway","Estimated 9–16% TB reduction; ~£6,785/badger; welfare cost: slow painful death for 20,000+ badgers/year","Badger vaccination + enhanced cattle testing","Slower TB decline; higher per-animal cost but zero mortality; already proven effective in Wales",5,"https://www.badgertrust.org.uk/post/over-half-of-uk-badger-population-killed-247-880-culled-since-2013"
C2,New Zealand Predator Free 2050 / Aerial 1080,"NZ Government Predator Free 2050 programme; EPA annual 1080 reports","New Zealand","Regional conservation trust / Department of Conservation","Maximise kiwi population recovery in a fixed region within 10 years on a fixed budget","1080 poison kills target invasive species (possums/stoats/rats) but also kills non-target native species including kea parrots; death is slow and painful","68,000 kiwi remaining; declining 2%/year (~20/week) in unprotected areas; +7,000 North Island brown kiwi gained in 4 years from 25 active projects","2019: 918,091 ha aerially treated; 2020: 558,000 ha; cost NZD $12–16/ha (aerial)","Kea (native endangered parrot) mortality ~5% per 1080 operation at backcountry sites; first-time treated sites have 21× higher kea mortality than repeat sites","Of bird carcasses found post-operation: 84% introduced species, 16% native; zero kiwi poisoning across 142 radio-tagged birds through 4 operations","Aerial 1080 at scale — highest kiwi recovery rate","NZD $12–16/ha; kea mortality ~5%; fastest predator knockdown; covers hundreds of thousands of hectares","Ground trapping only — zero poison mortality","Lower coverage per dollar; slower predator reduction; no kea mortality; not yet proven at landscape scale",5,"https://www.epa.govt.nz/assets/RecordsAPI/EPA-annual-report-on-aerial-1080-operations-2020.pdf"
C3,Urban Feral Cat Management — TNR vs Euthanasia,"San Jose RTF programme (8 years); 72,970-cat multi-city TNR study; Austin TX data","USA (multiple cities)","City animal welfare department","Design a feral cat management programme that minimises both cat euthanasia rates and wildlife mortality","Trap-Neuter-Return keeps cats alive longer (lower euthanasia) but extends their predation window on birds and small mammals; euthanasia reduces cat numbers faster but conflicts with no-kill mandate","US feral cats kill 1.3–4 billion birds and 6.3–22.3 billion mammals annually; 69% of all cat-killed birds from feral/unowned cats","San Jose 8-year TNR programme: euthanasia rate dropped from 66.6% to 34.9%; 14% reduction in feline shelter intake","72,970-cat multi-city study: TNR produced 32% median reduction in feline shelter intake and 83% decline in shelter euthanasia","Mathematical population models show TNR alone does not reduce overall feral cat population growth rate; TNR colonies persist for decades","TNR — lower euthanasia rate, lower per-cat cost","~$55/cat; 83% drop in shelter euthanasia; population persists; ongoing bird/mammal predation","Euthanasia-led management","~$103/cat; faster population reduction; higher per-animal death count; conflicts with public no-kill expectations",4,"https://humanepro.org/page/community-cats-scientific-studies-and-data"
C4,Western Australia Shark Drum Lines,"WA Government drum line programme January–September 2014","Western Australia","Coastal tourism authority / state government","Design a shark safety strategy following 7 fatal attacks in 3 years that satisfies both public safety and marine conservation obligations","Lethal drum lines protect humans by killing sharks — but the 2014 programme killed zero great whites (the target species) at enormous cost; non-lethal alternatives exist but are less proven for immediate public confidence","7 fatal shark attacks on WA coastline 2010–2013; programme ran 14 weeks (Jan–Sept 2014)","172 sharks caught; 50 killed — 0 were great white sharks (stated target species); $1.28M total cost; $25,600 per shark killed","Programme abandoned Sept 2014 after EPA recommendation; WA Environment Protection Authority ruled against renewal","Non-lethal alternatives now operational: drone surveillance, eco-barrier swimming enclosures (keep marine life out without entanglement)","Drum line reinstatement — visible immediate action","$1.28M/14-week season; zero great whites caught in prior programme; ongoing shark mortality; public reassurance value only","Non-lethal alternatives (drones + eco-barriers)","Lower cost per season; zero shark mortality; drone coverage 10km²/flight; less proven for public confidence post-fatality",4,"https://en.wikipedia.org/wiki/Western_Australian_shark_cull"
C5,Yellowstone Wolf Management,"USFWS grey wolf reintroduction 1995–present; Wyoming depredation records; Defenders of Wildlife compensation fund","Wyoming / Greater Yellowstone Ecosystem, USA","State wildlife agency (Wyoming Game & Fish equivalent)","Design a wolf management plan maintaining a minimum viable pack population while keeping annual livestock depredation below a defined threshold","Lethal removal of wolves that attack livestock reduces depredation but shrinks a recovering endangered population; non-lethal deterrents are less certain; 2026 disease outbreak has already cut numbers to lowest since reintroduction","Grey wolves reintroduced 1995; population peaked then declined; 2026 disease outbreak cuts numbers to lowest level since reintroduction era","121 wolf-killed cattle in single peak depredation year; Defenders of Wildlife paid $1.4M+ in rancher compensation over programme life","Non-lethal deterrents available: livestock guardian dogs ($1,000–3,000/dog), range riders ($50–80k/year per rider), fox lights, fladry","Lethal removal authorised under state law when wolves confirmed livestock killers; delisting/relisting under ESA has repeatedly interrupted management consistency","Lethal removal programme for depredating wolves","Fastest depredation reduction; reduces pack size; undermines recovery of population already at historic low in 2026","Non-lethal deterrent programme + compensation fund","$1.4M+ compensation already demonstrated; deterrents reduce 80% of attacks when properly implemented; no wolf mortality",4,"https://wolf.org/yellowstone-national-park-after-wolves/"
C6,BLM Wild Horse Range Management,"BLM Wild Horse & Burro Programme FY2022–2023; Congressional Research Service IF11060","Western USA (federal public lands)","Federal land management agency (BLM-equivalent)","Reduce on-range wild horse population from 82,883 to the Appropriate Management Level of 26,785 within 10 years while managing holding facility costs","Helicopter roundups are traumatic and frequently fatal; holding facilities now hold more horses than are on the range; fertility control is 98% cheaper per animal but slower; euthanasia is fastest but politically toxic","March 2023: 82,883 horses on range; 61,826 in off-range holding — more horses in captivity than on land; AML target: 26,785","FY2022 programme cost: $138M total; helicopter roundup: ~$50,000/horse removed; 20,000 horses removed in FY2022","2021–22 largest roundup in US history (Wyoming): 3,500 horses removed; documented deaths by broken necks, broken limbs, ruptured uterus during operations","Fertility control alternatives: PZP dart = $220/mare; GonaCon = $2,500/mare (includes gather/treat/release); lifetime holding cost ~$15,000/horse","Mass helicopter roundup + long-term holding","$50,000/horse removed; $138M/year programme cost; traumatic process with documented injury/death; 61,826 already in holding","Fertility control (PZP darting) + targeted adoption","$220/mare by darting; slower population reduction; no roundup trauma; requires sustained multi-year programme; public lands carrying capacity still exceeded in short term",5,"https://www.americanwildhorse.org/stories/blm-horse-roundups-cost-taxpayers-millions-a-call-for-change-7863"
C7,Dolphin-Safe Tuna Sourcing Strategy,"IATTC Eastern Pacific tuna fishery records 1950s–present; FAO Fisheries Technical Paper 568","Eastern Pacific Ocean / global","Tuna processing company seeking MSC certification renewal","Maintain MSC/dolphin-safe certification while preserving catch volumes and profit margins","Avoiding dolphin sets (to protect dolphins) requires FAD fishing which produces bycatch tens to hundreds of times higher for other species (juvenile bigeye tuna, silky sharks, sea turtles); the ethical label obscures a worse ecological trade-off","6 million dolphins killed in Eastern Pacific tuna fishery since late 1950s; now reduced to ~1,000/year — a >99% reduction","2020 tropical tuna purse seine composition: 36% FAD sets, 27% unassociated sets, 3% dolphin sets","FAD bycatch is 'tens to hundreds of times' higher than dolphin sets for non-target species; dolphin mortality from dolphin sets now considered ecologically sustainable by IATTC science panel","Dolphin-safe label dates to 1990 US Dolphin Protection Consumer Information Act; label does not account for FAD bycatch of juvenile tuna and sharks","FAD-based fishing — dolphin-safe certified","~1,000 dolphins/year; bycatch of juvenile bigeye, silky sharks, sea turtles 10–100× higher; retains certification; maximises yellowfin yield","Return to supervised dolphin sets (Eastern Pacific only)","~1,000 dolphins/year (comparable); dramatically lower total bycatch; loses dolphin-safe label despite better aggregate outcome; requires consumer education",4,"https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.754755/full"
C8,Kruger National Park Elephant Management,"SANParks Kruger elephant management programme 1967–present; peer-reviewed population dynamics studies","Kruger National Park, South Africa","National park authority (SANParks-equivalent)","Maintain elephant population within ecological carrying capacity (6,000–8,500 animals) while preserving habitat integrity for all species","Culling is the most effective population control tool but kills entire family groups (elephant social trauma); contraception requires treating 75% of ~3,000 reproductive females and cannot reduce existing population — only stabilise it","14,000+ elephants culled 1967–1994 keeping population at ~7,000; moratorium 1994; population now ~30,000 in Greater Kruger — 4× ecological target","To achieve zero population growth via contraception: ~75% of 3,000 reproductively active cows must be treated annually; even then population cannot be reduced, only stopped from growing","Translocation cost: up to $8,000/elephant; viable receiving reserves are limited; contraception is still not cost-effective at this scale per park vets","300 elephants must be removed per year minimum to maintain ecological balance; vegetation loss from overgrazing documented at current population levels","Resume culling — fastest population control","Most effective at scale; eliminates family groups together (reduces social trauma vs. selective shooting); stops habitat degradation; politically and internationally toxic","Contraception + translocation","$8,000/elephant translocation; 75% female treatment rate required; cannot reduce existing population; buys time but does not solve 30,000 → 7,000 gap",4,"https://www.researchgate.net/publication/229068835_Culling_and_the_dynamics_of_the_Kruger_National_Park_African_elephant_population"
C9,Sea Turtle Bycatch in Shrimp Trawling — TED Mandate,"NOAA NMFS TED research programme 1973–1992; 5th Circuit Court economic analysis","USA Gulf Coast and South Atlantic","Commercial shrimping industry association","Design a bycatch reduction compliance strategy that meets regulatory requirements while minimising impact on shrimp catch yield","Turtle Excluder Devices (TEDs) are 97% effective at releasing turtles but industry claims catch loss; actual data shows 5–13% shrimp loss vs. claimed 30–50% — the ethics tension is industry misrepresenting harm to resist animal protection measures","48,000 sea turtles caught annually in US shrimp trawls 1973–1984; 11,000 died per year; five of seven sea turtle species are threatened or endangered","TEDs are 97% effective at excluding turtles; shrimp pass through unaffected; actual catch reduction: 5–13% (vs. industry claim of 30–50%)","5th Circuit Court: fleetwide TED introduction would cost $5.9M/year total — distributed across thousands of vessels","Only 2% of shrimpers voluntarily adopted TEDs despite 10+ years of outreach; mandatory compliance required from 1992 only after repeated failed voluntary programmes","No TEDs / resist mandate — maximum shrimp yield","5–13% higher shrimp catch; 11,000+ turtle deaths/year; legal liability under ESA; $5.9M/year compliance avoided","Full TED compliance","5–13% shrimp yield reduction; 97% turtle exclusion; reduces fuel costs (less drag); reduces shrimp damage from turtle crushing; legally required",5,"https://www.fisheries.noaa.gov/southeast/bycatch/fishing-gear-turtle-excluder-devices"
C10,Australian Varroa Mite Emergency Response,"NSW DPI varroa mite emergency response June 2022 – September 2023","New South Wales, Australia","State biosecurity agency (NSW DPI-equivalent)","Contain the spread of varroa mite following detection at Port of Newcastle and prevent establishment across Australian beekeeping industry","Eradicating mite requires destroying healthy bee colonies in red zones — killing ~30,000 hives to protect the broader industry; abandoning eradication means accepting endemic varroa and 95% loss of feral bee populations within 3 years","Varroa mite detected Port of Newcastle June 2022; spread to 277 locations in NSW by September 2023; eradication declared no longer achievable after 14-month emergency response","~30,000 managed European honeybee hives euthanised in Red Zones during eradication attempt","Varroa will kill ~95% of Australia's feral honey bees within ~3 years of endemic establishment; feral bees pollinate vast areas of native vegetation","Transition from eradication to 'slow the spread' management begun September 2023; beekeepers now required to manage mite rather than report and destroy","Aggressive eradication (destroy all hives in red zones)","30,000 hives already destroyed; further euthanasia of economically viable hives; may fail regardless (as it did); industry compensation required","Managed transition to endemic varroa","Accept 95% feral bee loss; require all beekeepers to implement mite management (treatments, monitoring); long-term industry restructure needed; feral ecosystem pollination permanently reduced",4,"https://phys.org/news/2023-09-australia-eradicating-varroa-mite.html"
C11,Zoo Surplus Animal Euthanasia — Copenhagen Giraffe,"Marius the giraffe, Copenhagen Zoo, February 2014; EAZA captive breeding programme records","Copenhagen, Denmark / Europe-wide","Zoo consortium managing European captive breeding programme (EAZA-equivalent)","Design a surplus animal management policy for the European captive giraffe breeding programme that maintains genetic diversity while minimising euthanasia of healthy animals","Euthanising healthy surplus animals preserves genetic programme integrity (prevents overrepresentation) but kills animals with no welfare justification; contraception/sterilisation preserves individual lives but removes breeding opportunities and is against some zoos' philosophy","Marius: 2-year-old healthy male giraffe euthanised February 2014 because his genes were overrepresented (38 offspring from his lineage, 20 sent to European zoos)","European Association of Zoos and Aquaria policy explicitly permits 'quick death without suffering' when captive-breeding programme yields surplus animals","Copenhagen Zoo philosophy: does not use contraception or sterilisation — believes parenthood is enriching; euthanising surplus is standard practice not exceptional","US zoos contrast: euthanising healthy animals is uncommon; contraception widely used; international relocation offers exist but EAZA declined them for Marius","Euthanasia of genetically surplus individuals","Maintains programme genetic integrity; consistent with EAZA policy; immediate resolution; public outrage risk; no suffering if done correctly","Contraception / sterilisation / international transfer","Preserves individual animal life; removes breeding value permanently; Copenhagen Zoo rejects on welfare-enrichment grounds; transfer offers existed but were declined",3,"https://www.aaas.org/taxonomy/term/7/euthanizing-marius-giraffe-zoos-genetics-and-conservation"
C12,Salmon Farm Sea Lice Treatment Trade-off,"Norway Traffic Light System; Scotland SEPA reporting; ScienceDirect economic impact study 2023","Norway / Scotland","Salmon aquaculture company","Design a sea lice management protocol that keeps farm lice levels below regulatory thresholds while minimising treatment-related fish mortality and welfare harm","Every treatment method for sea lice causes significant farmed salmon welfare harm (elevated mortality, stress, injury); under-treating harms wild salmon in surrounding waters; cleaner fish used as biological control themselves suffer 40% average mortality","Norway's threshold: 0.2 mature female lice/fish; Scotland's intervention threshold: 6 adult females/fish — 30× higher tolerance","Norway 'traffic light' system: green zones = <10% estimated wild salmon mortality from farm lice; yellow = 10–30% mortality","Mechanical and thermal delousing treatments cause increased farmed fish mortality and decreased growth in post-treatment period; chemical treatments carry environmental contamination risk","Cleaner fish (wrasse, lumpfish) used as biological control: average mortality rate 40%; some farms experience complete cleaner fish die-offs","Aggressive lice treatment (chemical/mechanical) to stay below thresholds","Protects wild salmon; causes acute welfare harm to farmed fish; post-treatment mortality spike; regulatory compliance","Minimal treatment / biological control only","Higher lice burden on farmed fish; protects farmed fish from treatment stress; 10–30% wild salmon mortality in surrounding waters; cleaner fish mortality ~40%",4,"https://www.sciencedirect.com/article/pii/S016758772300226X"
C13,Oostvaardersplassen Rewilding — Starvation vs Culling,"Staatsbosbeheer management records 1990s–2018; Dutch parliamentary inquiry; peer-reviewed mortality data","Flevoland, Netherlands","Nature reserve management authority (Staatsbosbeheer-equivalent)","Design a megafauna management strategy for a closed rewilded reserve that prevents mass starvation events while maintaining the rewilding philosophy of minimal human intervention","Rewilding philosophy demands non-intervention — but without culling, animals starve en masse in harsh winters; reactive culling (shooting terminally ill animals) reduces suffering but compromises the 'natural process' principle; proactive culling is effective but abandons rewilding entirely","Winter 2017–18: ~3,300 red deer, Konik horses and Heck cattle starved to death; Dutch public demonstrations; individuals arrested for illegally feeding animals","Winter 2005 cold spell: 34% of all Heck cattle died from starvation; winter 2011–12: 941 animals dead by March 1","Post-2018 management: 1,745 red deer shot December 2018–April 2019; 1,235 carcasses sold for human consumption; annual culls now standard",">90% of 2014 deaths were 'reactive culls' (shooting animals already dying of starvation) — reactive culling was standard even under non-intervention policy","Proactive annual culling to carrying capacity","Prevents starvation; contradicts rewilding philosophy; requires ongoing human management; maintains stable population; animals shot before suffering","True non-intervention (allow natural population crashes)","Periodic mass starvation events; intense animal suffering; public and political unacceptability demonstrated 2018; legally challenged under Dutch animal welfare law",5,"https://en.wikipedia.org/wiki/Oostvaardersplassen"
